BveTs Motor Noise Table 1.00
#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
17,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.8,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.9,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.5,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.6,,,,,,,,,,,0.3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.7,,,,,,,,,,,0.21,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.8,,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.2,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
32.3,,,,,,,,,,,,,,0.7,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,
32.4,,,,,,,,,,,,,,0,1,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,
34.5,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,
34.8,,,,,,,,,,,,,,,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,0.4,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
40.7,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,
42.2,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,
42.7,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
45.8,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
46.3,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,
46.8,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
49.2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
49.7,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
50.2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
57.1,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,
58.1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,0,0.8,0,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,
98.6,,,,,,,,,,,,,,,,,,,,,,0,0.5,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
